"Order ID","Sale Date","Sale price","COGS","Status","Store Name","Store Id","Customer Invoice Number"
"f4gt-13jx","2020-07-16 11:22:59.286000","45.0","78.89","done","PandaNow (Wattana)","f4gt","ABB-0000005938"
"f3mt-2xal","2020-07-16 11:23:09.843000","63.0","90.28","done","PandaNow (Sathorn)","f3mt","ABB-0000005937"
"f3mt-9jlb","2020-07-16 11:25:07.251000","81.0","54.67","done","PandaNow (Sathorn)","f3mt","ABB-0000005939"
"f4gt-3gga","2020-07-16 11:25:46.507000","55.0","63.79","done","PandaNow (Wattana)","f4gt","ABB-0000005942"
"f4gt-p76w","2020-07-16 11:26:00.211000","329.0","243.27","done","PandaNow (Wattana)","f4gt","ABB-0000005943"
"f4gt-rvfn","2020-07-16 10:11:03.530000","79.0","127.24","done","PandaNow (Wattana)","f4gt","ABB-0000005941"
"f4gt-dqtf","2020-07-16 11:29:38.342000","100.0","82.72","done","PandaNow (Wattana)","f4gt","ABB-0000005940"
"f4gt-xruf","2020-07-16 11:38:04.713000","58.0","100.56","done","PandaNow (Wattana)","f4gt","ABB-0000005948"
"f3mt-blcl","2020-07-16 11:38:29.290000","105.0","91.55","done","PandaNow (Sathorn)","f3mt","ABB-0000005944"
"f3mt-otgj","2020-07-16 11:38:56.623000","262.0","242.52","done","PandaNow (Sathorn)","f3mt","ABB-0000005946"
"f0yg-nszw","2020-07-16 11:39:33.805000","101.0","86.56","done","PandaNow (Lat Phrao)","f0yg","ABB-0000005945"
"f0yg-d09n","2020-07-16 11:43:47.763000","119.7","112.14","done","PandaNow (Lat Phrao)","f0yg","ABB-0000005947"
"f4gt-qj2d","2020-07-16 10:25:03.591000","78.05","145.01","done","PandaNow (Wattana)","f4gt","ABB-0000005949"
"f4gt-ga79","2020-07-16 11:46:23.725000","288.0","199.57","done","PandaNow (Wattana)","f4gt","ABB-0000005951"
"f6cs-nyyn","2020-07-16 11:49:02.241000","60.0","50.46","done","PandaNow (Ngamwongwan)","f6cs","ABB-0000005950"
"f3mt-nqg4","2020-07-16 11:53:30.760000","40.8","78.50","done","PandaNow (Sathorn)","f3mt","ABB-0000005952"
"f3mt-7g4z","2020-07-16 12:00:47.322000","58.0","96.28","done","PandaNow (Sathorn)","f3mt","ABB-0000005953"
"f4gt-b7oi","2020-07-16 12:02:59.712000","874.0","662.15","done","PandaNow (Wattana)","f4gt","ABB-0000005954"
"f4gt-ruxd","2020-07-16 12:06:10.194000","170.0","129.86","done","PandaNow (Wattana)","f4gt","ABB-0000005955"
"f4gt-me4r","2020-07-16 10:45:03.732000","79.0","101.27","done","PandaNow (Wattana)","f4gt","ABB-0000005956"
"f0yg-81tw","2020-07-16 11:28:03.916000","50.0","79.88","done","PandaNow (Lat Phrao)","f0yg","ABB-0000005957"
"f3mt-grcc","2020-07-16 12:28:29.904000","56.05","94.15","done","PandaNow (Sathorn)","f3mt","ABB-0000005959"
"f4gt-abfz","2020-07-16 12:29:28.952000","88.0","72.90","done","PandaNow (Wattana)","f4gt","ABB-0000005958"
"f3mt-upyf","2020-07-16 12:36:46.283000","45.0","74.73","done","PandaNow (Sathorn)","f3mt","ABB-0000005960"
"f4gt-m0yl","2020-07-16 12:50:06.703000","73.0","105.46","done","PandaNow (Wattana)","f4gt","ABB-0000005961"
"f3mt-gj8d","2020-07-16 12:53:51.808000","54.0","120.12","done","PandaNow (Sathorn)","f3mt","ABB-0000005962"
"f4gt-3lk6","2020-07-16 12:54:53.647000","109.9","124.73","done","PandaNow (Wattana)","f4gt","ABB-0000005963"
"f6cs-mukc","2020-07-16 12:59:19.380000","100.0","81.30","done","PandaNow (Ngamwongwan)","f6cs","ABB-0000005964"
"f4gt-zr7q","2020-07-16 11:45:04.047000","391.0","350.34","done","PandaNow (Wattana)","f4gt","ABB-0000005966"
"f4gt-6o8j","2020-07-16 13:06:18.332000","114.0","90.53","done","PandaNow (Wattana)","f4gt","ABB-0000005965"
"f6cs-5qak","2020-07-16 11:49:03.887000","100.0","91.12","done","PandaNow (Ngamwongwan)","f6cs","20207177"
"f4gt-myue","2020-07-16 13:16:34.999000","75.0","56.36","done","PandaNow (Wattana)","f4gt","ABB-0000005967"
"f6cs-iucw","2020-07-16 12:02:03.949000","55.0","82.21","done","PandaNow (Ngamwongwan)","f6cs","20207179"
"f4gt-g6kj","2020-07-16 13:29:13.155000","60.0","48.78","done","PandaNow (Wattana)","f4gt","ABB-0000005968"
"f3mt-s3gf","2020-07-16 13:34:03.904000","68.68","103.18","done","PandaNow (Sathorn)","f3mt","ABB-0000005969"
"f4gt-c5ai","2020-07-16 13:39:07.205000","312.5","246.42","done","PandaNow (Wattana)","f4gt","ABB-0000005972"
"f3mt-anvu","2020-07-16 13:39:29.364000","62.0","88.98","done","PandaNow (Sathorn)","f3mt","ABB-0000005971"
"f4gt-eg24","2020-07-16 13:40:05.816000","50.0","37.38","done","PandaNow (Wattana)","f4gt","ABB-0000005970"
